style,tpp_id,CropName,GermplasmType,TPPID,TPPShortName,TPPInternalName,Organisation,TPPLead,Status,Scope,BreedingEffort,Tier,BPShortName,BPLongName,BreedingTeam,TeamLead,MSShortName,TPPDescription,Cost,TPPDateCreated,TPPDateLastEdited
,337,Sorghum,No Germplasm Type,TPP01041,Sorghum WAF ICRISAT TPP01041,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum WAF MS00678,-,-,"March 18, 2026","March 23, 2026"
,338,Sorghum,No Germplasm Type,TPP01043,Sorghum WAF ICRISAT TPP01043,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum WAF MS00677,-,-,"March 18, 2026","March 23, 2026"
,355,Soybean,No Germplasm Type,TPP00237,Soybean CAF IITA TPP00237,-,IITA,Abush Tesfaye,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00091,Medium/Late Soybean Lowlands,Lowlands,-,Soybean CAF MS00220,Rainfed,-,"April 25, 2023","April 25, 2023"
,359,Soybean,No Germplasm Type,TPP00241,Soybean CAF IITA TPP00241,-,IITA,Godfree Chigeza,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00092,Medium/Late Soybean Mid-Altitudes,Midaltitudes,-,Soybean CAF MS00227,Rainfed,-,"April 25, 2023","April 25, 2023"
,363,Soybean,No Germplasm Type,TPP00245,Soybean CAF IITA TPP00245,-,IITA,Abush Tesfaye,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00093,Early Soybean For Lowlands,Lowlands,-,Soybean CAF MS00217,Rainfed,-,"April 25, 2023","April 25, 2023"
,352,Soybean,No Germplasm Type,TPP00234,Soybean EAF IITA TPP00234,-,IITA,Abush Tesfaye,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00091,Medium/Late Soybean Lowlands,Lowlands,-,Soybean EAF MS00221,Rainfed,-,"April 25, 2023","April 25, 2023"
,356,Soybean,No Germplasm Type,TPP00238,Soybean EAF IITA TPP00238,-,IITA,Godfree Chigeza,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00092,Medium/Late Soybean Mid-Altitudes,Midaltitudes,-,Soybean EAF MS00228,Rainfed,-,"April 25, 2023","April 25, 2023"
,360,Soybean,No Germplasm Type,TPP00242,Soybean EAF IITA TPP00242,-,IITA,Abush Tesfaye,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00093,Early Soybean For Lowlands,Lowlands,-,Soybean EAF MS00218,Rainfed,-,"April 25, 2023","April 25, 2023"
,364,Soybean,No Germplasm Type,TPP00246,Soybean EAF IITA TPP00246,-,IITA,Godfree Chigeza,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00094,Early Maturing Soybean Mid-Altitudes,Midaltitudes,-,Soybean EAF MS00229,Rainfed,-,"April 25, 2023","April 25, 2023"
,353,Soybean,No Germplasm Type,TPP00235,Soybean SAF IITA TPP00235,-,IITA,Abush Tesfaye,Funded,CGIAR,Category 4: Late Testing,-,Soybean IITA BP00091,Medium/Late Soybean Lowlands,Lowlands,-,Soybean SAF MS00222,Rainfed,-,"April 25, 2023","April 25, 2023"
